cluster	gene	avg_log2FC	pct.1	pct.2	pct.diff	p_val	p_val_adj
9	MPO	1.44932221285506	0.66	0.088	0.572	0	0
9	CD34	1.4371754929791	0.939	0.187	0.752	0	0
9	MGST1	1.41819934063969	0.915	0.185	0.73	0	0
9	GAPDH	1.4070781675187	1	0.96	0.04	0	0
9	FAM30A	1.39182687831897	0.85	0.21	0.64	0	0
9	CDK6	1.34859235160241	0.98	0.322	0.658	0	0
9	IMPDH2	1.34332740602097	0.981	0.435	0.546	0	0
9	ITM2C	1.32753168149278	0.964	0.298	0.666	0	0
9	GYPC	1.30790227009164	0.993	0.651	0.342	0	0
9	CSF3R	1.2974389468695	0.929	0.161	0.768	0	0
9	NUCB2	1.27769907782372	0.992	0.512	0.48	0	0
9	HSP90AB1	1.22568625724735	1	0.861	0.139	0	0
9	RPS2	1.22111123133659	0.998	0.854	0.144	0	0
9	CAT	1.21865811377003	0.97	0.412	0.558	0	0
9	CLEC11A	1.20606854495077	0.749	0.213	0.536	0	0
9	AC084033.3	1.19879108470541	0.967	0.282	0.685	0	0
9	EGFL7	1.19633558233862	0.93	0.213	0.717	0	0
9	FABP5	1.17874103518894	0.949	0.279	0.67	0	0
9	PRDX1	1.16550637662881	0.985	0.551	0.434	0	0
9	ENO1	1.15458268486263	0.995	0.696	0.299	0	0
9	HSPD1	1.13909560596951	0.991	0.489	0.502	0	0
9	NPM1	1.09665552076151	1	0.935	0.065	0	0
9	IGLL1	1.07791047004258	0.941	0.187	0.754	0	0
9	GSTP1	1.0274766952534	0.999	0.683	0.316	0	0
9	APEX1	1.0165378948522	0.986	0.543	0.443	0	0
12	MPO	2.42668605728934	0.619	0.093	0.526	0	0
12	AZU1	2.15126354941106	0.327	0.051	0.276	0	0
12	TUBA1B	2.0555295484969	0.998	0.631	0.367	0	0
12	PRSS57	2.02955633066388	0.988	0.239	0.749	0	0
12	SPINK2	1.92679274759439	0.971	0.197	0.774	0	0
12	TUBB	1.82615759909599	0.997	0.633	0.364	0	0
12	STMN1	1.79212063238254	0.998	0.437	0.561	0	0
12	DUT	1.74236426965125	0.995	0.508	0.487	0	0
12	SMIM24	1.73252193455219	0.978	0.19	0.788	0	0
12	H2AFZ	1.69299782794896	0.999	0.603	0.396	0	0
12	CLEC11A	1.55864146329691	0.791	0.215	0.576	0	0
12	MGST1	1.55620905040875	0.95	0.188	0.762	0	0
12	NUCB2	1.436258630351	0.994	0.515	0.479	0	0
12	GAPDH	1.3991589771181	0.999	0.96	0.039	0	0
12	FABP5	1.37643873327892	0.981	0.282	0.699	0	0
12	CALR	1.35022915310295	0.994	0.714	0.28	0	0
12	MCM7	1.32480803396031	0.961	0.266	0.695	0	0
12	UBE2C	1.31516433216045	0.69	0.068	0.622	0	0
12	GSTP1	1.29049972044844	0.999	0.685	0.314	0	0
12	TK1	1.26581656022808	0.811	0.071	0.74	0	0
12	TUBB4B	1.24729742854279	0.923	0.296	0.627	0	0
12	CDCA7	1.24007778448673	0.895	0.174	0.721	0	0
12	HMGN2	1.21289858514981	0.998	0.844	0.154	0	0
12	ENO1	1.21080732607798	0.995	0.698	0.297	0	0
12	BEX3	1.19944499454526	0.963	0.305	0.658	0	0
12	CENPU	1.19174063515098	0.886	0.138	0.748	0	0
12	IMPDH2	1.15876566546532	0.967	0.439	0.528	0	0
12	IGLL1	1.15293684588013	0.905	0.193	0.712	0	0
12	HSPD1	1.13770073777522	0.986	0.492	0.494	0	0
12	PCNA	1.1314968738373	0.913	0.192	0.721	0	0
12	CSF3R	1.13054103118066	0.916	0.167	0.749	0	0
12	NAP1L1	1.11912793701886	0.997	0.649	0.348	0	0
12	NASP	1.11138786033328	0.968	0.377	0.591	0	0
12	CTSG	1.09061627554074	0.611	0.071	0.54	0	0
12	EGFL7	1.08598537179182	0.934	0.218	0.716	0	0
12	CDK6	1.08276234804811	0.949	0.327	0.622	0	0
12	TXN	1.08086938595331	0.99	0.529	0.461	0	0
12	CDK4	1.07923181637502	0.947	0.321	0.626	0	0
12	DHFR	1.07036045720524	0.834	0.107	0.727	0	0
12	UNG	1.04032893127582	0.762	0.161	0.601	0	0
12	CKS2	1.03571692520816	0.852	0.196	0.656	0	0
12	CKS1B	1.03223787248863	0.868	0.17	0.698	0	0
12	TOP2A	1.02418035251134	0.569	0.068	0.501	0	0
12	TALDO1	1.01911465278434	0.989	0.552	0.437	0	0
12	ITM2C	1.01510530982628	0.943	0.303	0.64	0	0
12	CD34	1.01032265684006	0.845	0.195	0.65	0	0
12	SERPINB1	1.00798738095965	0.995	0.55	0.445	0	0
12	PHGDH	1.00439427268901	0.847	0.127	0.72	0	0
12	HMGB1	1.0042049715617	1	0.913	0.087	0	0
12	HSPB1	1.03526321434112	0.98	0.488	0.492	1.01524574551399e-306	1.99769905344788e-302
12	RPL22L1	1.04456483522929	0.993	0.609	0.384	2.31053212998218e-303	4.54643407216593e-299
12	RPS2	1.1997093951496	1	0.855	0.145	3.55434612552077e-294	6.99388687118722e-290
12	PRDX1	1.13113459687271	0.968	0.555	0.413	1.45504084002505e-291	2.86308386091729e-287
12	AREG	1.24751789783705	0.747	0.256	0.491	4.02147515317854e-274	7.91305665890941e-270
12	HIST1H4C	1.70250803308728	0.958	0.496	0.462	1.97211780122706e-258	3.88053619747448e-254
12	PRTN3	2.07807710311634	0.265	0.04	0.225	1.2143107299112e-256	2.38939922324626e-252
12	ELANE	1.77931573880483	0.248	0.036	0.212	6.45440517527977e-250	1.2700333063398e-245
13	PRTN3	5.28562313651779	0.911	0.024	0.887	0	0
13	MPO	4.79035256430229	0.997	0.087	0.91	0	0
13	AZU1	4.51620880510777	0.966	0.036	0.93	0	0
13	ELANE	4.25409099829232	0.868	0.021	0.847	0	0
13	PRSS57	2.58250898228081	0.958	0.244	0.714	0	0
13	AREG	2.57788542875009	0.834	0.257	0.577	0	0
13	CTSG	2.5689529464992	0.877	0.067	0.81	0	0
13	CFD	2.43829608827474	0.855	0.101	0.754	0	0
13	CLEC11A	2.40119700036551	0.76	0.22	0.54	0	0
13	RNASE2	2.22902699772647	0.891	0.08	0.811	0	0
13	MGST1	1.98807587043193	0.891	0.195	0.696	0	0
13	LYZ	1.75989093298094	0.757	0.147	0.61	0	0
13	SRGN	1.70509498219009	0.998	0.793	0.205	0	0
13	SMIM24	1.55358692085798	0.805	0.2	0.605	0	0
13	FABP5	1.47832678813724	0.876	0.289	0.587	0	0
13	EREG	1.47122812592582	0.669	0.133	0.536	0	0
13	GSTP1	1.41123534035476	0.994	0.687	0.307	0	0
13	HSPB1	1.39941537767669	0.954	0.491	0.463	0	0
13	P4HB	1.37033543241891	0.938	0.486	0.452	0	0
13	AC084033.3	1.34584662927983	0.917	0.292	0.625	0	0
13	PPIB	1.31029391681483	0.993	0.847	0.146	0	0
13	RNASE3	1.2639374248156	0.572	0.027	0.545	0	0
13	ATP5MC2	1.1868020402513	1	0.946	0.0540000000000001	0	0
13	TNFSF13B	1.15754736958724	0.72	0.193	0.527	0	0
13	CSTA	1.10552779382776	0.635	0.074	0.561	0	0
13	MS4A3	1.06687044093175	0.562	0.025	0.537	0	0
13	RPS24	1.00841627826252	1	0.999	0.001	0	0
13	RPS2	1.39092587432395	0.997	0.856	0.141	1.07731317306303e-303	2.11982913063613e-299
13	NUCB2	1.47133286012673	0.943	0.519	0.424	6.05462727915869e-303	1.19136900972006e-298
13	MIF	1.26656380010615	0.99	0.824	0.166	5.9148949742405e-297	1.1638738840813e-292
13	IGLL1	1.0346923648936	0.725	0.203	0.522	1.06708560308227e-296	2.09970434118499e-292
13	VAMP8	1.21033007146617	0.977	0.677	0.3	1.36455183001587e-296	2.68502863592223e-292
13	SERPINB1	1.46517084186649	0.964	0.553	0.411	6.84535626054607e-289	1.34696075138765e-284
13	JUND	1.17647565720646	0.786	0.273	0.513	1.31190578250309e-272	2.58143700823133e-268
13	TXN	1.17539061170693	0.963	0.532	0.431	4.70373130221394e-263	9.25553208336637e-259
13	MT-ND4	1.15641482192891	0.988	0.985	0.003	2.30387003462699e-262	4.53332506713554e-258
13	CALR	1.62671072991025	0.945	0.718	0.227	1.44494578048106e-257	2.84321981225259e-253
13	ENO1	1.06771074568646	0.976	0.701	0.275	1.4054122407137e-245	2.76542966605234e-241
13	GAPDH	1.10724563429314	0.997	0.961	0.036	1.90765631739369e-245	3.75369533573556e-241
13	NAP1L1	1.02646012157512	0.965	0.652	0.313	1.91337307892512e-236	3.76494420740096e-232
13	HSP90B1	1.08440372417214	0.948	0.71	0.238	3.80721543883793e-199	7.49145781900139e-195
13	PLAC8	1.01356124170638	0.91	0.506	0.404	1.12948616873443e-196	2.22248993421873e-192
13	YBX1	1.00050591035318	0.914	0.532	0.382	2.45728741402421e-196	4.83520444457543e-192
13	RPL22L1	1.10414787696148	0.945	0.613	0.332	1.67414503984482e-187	3.29421519490265e-183
20	DNTT	3.13635054687408	0.89	0.068	0.822	0	0
20	UHRF1	2.67064342949724	0.78	0.141	0.639	0	0
20	JCHAIN	2.03659650495678	0.778	0.064	0.714	0	0
20	NREP	1.95964286481524	0.895	0.201	0.694	0	0
20	VPREB1	1.71884941298611	0.809	0.072	0.737	0	0
20	ADA	1.61850728133631	0.851	0.186	0.665	0	0
20	BLNK	1.52726045070802	0.724	0.097	0.627	0	0
20	UMODL1	1.08937245617046	0.496	0.013	0.483	0	0
20	JUP	1.2914541638984	0.809	0.166	0.643	4.18233529719989e-294	8.22958116430022e-290
20	LDLRAD4	1.15098897522415	0.697	0.114	0.583	1.25278362829745e-292	2.4651023454009e-288
20	ACY3	1.66084506491175	0.328	0.026	0.302	6.42670194905494e-290	1.26458214251554e-285
20	LAT2	2.16179440744599	0.958	0.301	0.657	2.31915388852838e-289	4.56339910645729e-285
20	MED13L	1.52571572746049	0.79	0.177	0.613	2.55879543734028e-273	5.03494178205447e-269
20	TCF4	1.63204385074744	0.863	0.211	0.652	4.31406887924115e-272	8.48879333368281e-268
20	MIR181A1HG	1.33353299469663	0.721	0.143	0.578	2.25152028381958e-265	4.43031646247179e-261
20	SPINK2	2.0142402153859	0.907	0.213	0.694	1.60099879968688e-261	3.15028533814388e-257
20	FAM30A	1.95644774325068	0.87	0.227	0.643	2.83007526293167e-255	5.56873909487065e-251
20	IGLL1	2.32348122288756	0.834	0.208	0.626	9.91125858580943e-254	1.95023835192972e-249
20	MZB1	1.32981428602533	0.822	0.18	0.642	7.9742891599337e-252	1.56910087800015e-247
20	IGHM	1.99925565721361	0.812	0.182	0.63	2.13207340835809e-251	4.19528084562621e-247
20	SMIM24	1.44172961551851	0.851	0.207	0.644	1.914954661828e-224	3.76805628807895e-220
20	SOX4	2.28933652673695	0.927	0.296	0.631	4.802199281537e-224	9.44928752628035e-220
20	FLT3	1.03889623699836	0.562	0.101	0.461	1.24624045568887e-219	2.45222734465898e-215
20	CD79A	1.01133426598732	0.785	0.16	0.625	5.87665155345125e-218	1.1563487261726e-213
20	ACTG1	1.84450406620861	1	0.974	0.026	3.11456294366955e-217	6.12852550425858e-213
20	BCL11A	1.18147622418876	0.753	0.199	0.554	7.61277962711655e-199	1.49796664722772e-194
20	ITM2C	1.62384096976971	0.927	0.316	0.611	3.66706993367539e-194	7.21569350849306e-190
20	MSI2	1.33104378984842	0.8	0.243	0.557	1.2691617519817e-184	2.4973295793744e-180
20	LAIR1	1.50069135049428	0.87	0.312	0.558	1.28549910102109e-182	2.5294765810792e-178
20	ZCCHC7	1.58843580291909	0.812	0.301	0.511	3.79533683713322e-166	7.46808429442704e-162
20	CDK6	1.32763723967562	0.917	0.34	0.577	1.07099148390938e-162	2.10738994288849e-158
20	DDAH2	1.25865683320805	0.856	0.304	0.552	1.49551848376251e-160	2.94273172049949e-156
20	AFF1	1.02403891860075	0.672	0.179	0.493	1.95117429212107e-160	3.83932565460662e-156
20	H2AFY	1.40038799616906	0.944	0.426	0.518	1.00431835184383e-158	1.97619722092311e-154
20	STMN1	1.28322731329378	0.983	0.448	0.535	2.22913146685437e-156	4.38626198732934e-152
20	ARMH1	1.06524935433138	0.8	0.26	0.54	2.63975267428795e-148	5.19424133719639e-144
20	MEF2C	1.00131173815258	0.797	0.265	0.532	1.17792687706165e-139	2.31780671599422e-135
20	SATB1	1.21035567930861	0.814	0.294	0.52	3.50994994624636e-137	6.90652850922897e-133
20	RNASEH2B	1.06845031611092	0.91	0.394	0.516	1.12468099641724e-134	2.21303479665021e-130
20	KLF10	1.30123092647612	0.721	0.243	0.478	1.55436211209323e-134	3.05851832796584e-130
20	CAPG	1.15570949263899	0.78	0.266	0.514	4.43608661267496e-133	8.72888762776052e-129
20	PSMA6	1.22640461747656	0.878	0.448	0.43	2.66113749796063e-126	5.23632025473714e-122
20	HMGB1	1.20919370394797	1	0.915	0.085	3.12580653528695e-125	6.15064951948414e-121
20	TSC22D1	1.27462476064219	0.641	0.197	0.444	4.9038044670834e-125	9.64921604988e-121
20	CD99	1.49640531927256	0.973	0.805	0.168	2.64898116512491e-124	5.21240023861628e-120
20	PRDX1	1.31345918616461	0.946	0.563	0.383	1.0059952299013e-123	1.9794968138768e-119
20	GAPDH	1.14171898337427	1	0.961	0.039	5.41315907915162e-115	1.06514731200466e-110
20	DDIT4	1.45025880653287	0.853	0.379	0.474	9.15054071590859e-99	1.80055189666933e-94
20	GLRX	1.01853239302522	0.768	0.363	0.405	1.82476410776026e-91	3.59058833483986e-87
20	ITGA4	1.21392619831948	0.902	0.522	0.38	7.81059467657992e-87	1.53689071451063e-82
20	GYPC	1.09982858884608	0.914	0.661	0.253	2.74077699731619e-73	5.39302689761906e-69
14	DNTT	5.11817719231282	0.979	0.057	0.922	0	0
14	VPREB1	4.48582653996546	0.996	0.06	0.936	0	0
14	VPREB3	3.99082710367056	0.98	0.075	0.905	0	0
14	CD9	3.89641138907819	0.934	0.069	0.865	0	0
14	IGLL1	3.87761233840481	0.972	0.199	0.773	0	0
14	CD79B	3.37318250747794	0.987	0.205	0.782	0	0
14	SMIM3	3.28820071811863	0.887	0.186	0.701	0	0
14	MT1X	3.20349383034641	0.812	0.188	0.624	0	0
14	ARPP21	3.01657410917171	0.837	0.019	0.818	0	0
14	IGHV5-78	2.75264104094228	0.836	0.046	0.79	0	0
14	MZB1	2.67207934691986	0.898	0.172	0.726	0	0
14	DEPP1	2.59514974096493	0.606	0.007	0.599	0	0
14	MME	2.47632188032091	0.728	0.027	0.701	0	0
14	CD24	2.39944237677029	0.763	0.063	0.7	0	0
14	SSBP2	2.37804104306603	0.859	0.284	0.575	0	0
14	HLA-DRA	2.34538900386721	0.999	0.473	0.526	0	0
14	LHPP	2.33385889738899	0.715	0.154	0.561	0	0
14	LINC01013	2.32294067618381	0.636	0.013	0.623	0	0
14	SOCS2	2.29518946551896	0.756	0.154	0.602	0	0
14	TCF4	2.27821665396403	0.813	0.205	0.608	0	0
14	CD79A	2.22882670384103	0.938	0.15	0.788	0	0
14	SOX4	2.13028338333184	0.866	0.291	0.575	0	0
14	HPS4	2.12472689633191	0.733	0.201	0.532	0	0
14	LAPTM5	2.10397798186665	0.997	0.913	0.084	0	0
14	TOP2B	2.09484629053066	0.753	0.233	0.52	0	0
14	RCSD1	2.04261156965554	0.867	0.366	0.501	0	0
14	CD74	1.99666365803127	1	0.896	0.104	0	0
14	LINC00426	1.94755615022358	0.612	0.065	0.547	0	0
14	AKAP12	1.92450883575578	0.539	0.017	0.522	0	0
14	SMAD1	1.92212259541005	0.541	0.066	0.475	0	0
14	MPP1	1.92107721925812	0.762	0.267	0.495	0	0
14	CMTM8	1.91865085311084	0.53	0.025	0.505	0	0
14	EBF1	1.90205058120575	0.598	0.039	0.559	0	0
14	NEIL1	1.8906445851509	0.528	0.037	0.491	0	0
14	JUP	1.86954955889065	0.669	0.162	0.507	0	0
14	RPS4Y2	1.84524256761073	0.39	0.003	0.387	0	0
14	RAG2	1.84243979533126	0.541	0.02	0.521	0	0
14	RAG1	1.79157456690951	0.44	0.011	0.429	0	0
14	ERG	1.75522890015052	0.566	0.126	0.44	0	0
14	MLXIP	1.75391634254031	0.622	0.159	0.463	0	0
14	POU2AF1	1.72098717142229	0.607	0.065	0.542	0	0
14	SH3TC1	1.66253557039908	0.557	0.086	0.471	0	0
14	GNG7	1.64437135937754	0.591	0.122	0.469	0	0
14	QRSL1	1.61767605562667	0.553	0.129	0.424	0	0
14	TP53INP1	1.61245856105774	0.468	0.057	0.411	0	0
14	HIST1H2BK	1.58763322090397	0.507	0.103	0.404	0	0
14	P4HA2	1.55373986553602	0.411	0.008	0.403	0	0
14	BLNK	1.52517318388188	0.562	0.094	0.468	0	0
14	DUSP26	1.45207127207482	0.373	0.003	0.37	0	0
14	GAB1	1.42111686597231	0.372	0.036	0.336	0	0
14	AL713998.1	1.39517595157955	0.252	0.006	0.246	0	0
14	MILR1	1.2726557121641	0.389	0.051	0.338	0	0
14	HMHB1	1.22833903709537	0.311	0.005	0.306	0	0
14	SH2D4B	1.21496595882876	0.31	0.003	0.307	0	0
14	LINC02202	1.09664410727491	0.307	0.015	0.292	0	0
14	CHST15	1.0367305652708	0.286	0.024	0.262	0	0
14	SLC8A1-AS1	1.03116867398985	0.277	0.009	0.268	0	0
14	H3F3B	1.23856077246347	1	0.99	0.01	6.11733559171513e-305	1.20370812438179e-300
14	HLA-DPB1	1.59425447405181	0.982	0.608	0.374	9.47220182109744e-300	1.86384515233734e-295
14	SCHIP1	1.54816198675974	0.434	0.081	0.353	3.63870876257033e-298	7.15988723210963e-294
14	TKT	1.82494124521743	0.925	0.549	0.376	8.9236830548791e-298	1.75591311470856e-293
14	LAT2	1.8135718941587	0.762	0.299	0.463	6.21766181529399e-285	1.2234493153954e-280
14	TMEM243	1.68745784598623	0.774	0.314	0.46	1.48077186129021e-281	2.91371479146075e-277
14	HLA-DMA	1.66089064150427	0.853	0.39	0.463	1.27103579103154e-278	2.50101712601277e-274
14	CD99	1.68657898984158	0.972	0.803	0.169	6.14881233400758e-276	1.20990180296267e-271
14	ENG	1.68904898942212	0.534	0.137	0.397	1.77544449505124e-275	3.49354213291232e-271
14	ELK3	1.38675169906803	0.432	0.087	0.345	8.87022993948128e-269	1.74539514519173e-264
14	MAGED1	1.72097144226911	0.652	0.232	0.42	7.32983006934463e-262	1.44229066274494e-257
14	DBN1	1.26372495595938	0.432	0.088	0.344	5.23911782844031e-260	1.0309012151022e-255
14	RUBCNL	1.08265246918156	0.363	0.059	0.304	3.29038745453052e-254	6.4744953942797e-250
14	IGHM	1.28249254079969	0.64	0.179	0.461	2.32638366716635e-252	4.57762514188322e-248
14	LDLRAD4	1.52558332166071	0.482	0.113	0.369	4.01756029375607e-251	7.90535339002382e-247
14	MEF2C	1.70981193669075	0.696	0.262	0.434	1.89679580295489e-247	3.73232510147434e-243
14	BTG2	1.66062011803082	0.823	0.394	0.429	9.44060956556721e-240	1.85762874421666e-235
14	SNX2	1.61798647834332	0.786	0.407	0.379	6.98504549172589e-237	1.3744474014069e-232
14	TSPAN14	1.58505605198906	0.657	0.238	0.419	1.26803504561319e-235	2.49511255925307e-231
14	HLA-DRB5	1.25335943605678	0.934	0.471	0.463	2.52507333642338e-232	4.96858680408028e-228
14	TCF3	1.31721562371395	0.428	0.097	0.331	9.72343353748109e-230	1.91328001717015e-225
14	HLA-DPA1	1.14363231305546	0.968	0.587	0.381	6.14741148364549e-229	1.20962615763692e-224
14	EGFL7	1.52981779276228	0.654	0.231	0.423	6.85654916212355e-226	1.34916317863105e-221
14	PHACTR1	1.3871756611978	0.476	0.122	0.354	6.97426982948269e-225	1.37232707434731e-220
14	UBE2J1	1.771986899932	0.699	0.309	0.39	3.77304072908817e-223	7.4242122426268e-219
14	ERGIC1	1.60576338864209	0.587	0.202	0.385	2.11126974456999e-222	4.15434547639036e-218
14	PNISR	1.29722602902742	0.941	0.751	0.19	7.07495485461184e-213	1.39213886674197e-208
14	CD38	1.58832554590897	0.611	0.225	0.386	5.05854911361906e-209	9.95370709086823e-205
14	HLA-DOA	1.19471502008568	0.385	0.084	0.301	3.94309190574614e-206	7.75882194293669e-202
14	GLRX	1.67623560216707	0.723	0.36	0.363	4.10056881246798e-205	8.06868925229324e-201
14	HLA-DQB1	1.11727773312873	0.761	0.31	0.451	1.68337993525283e-202	3.312386698597e-198
14	DOK3	1.30408973744845	0.46	0.128	0.332	3.6333588390987e-199	7.14936018769451e-195
14	AEBP1	1.03144463371057	0.335	0.067	0.268	5.30351665556637e-194	1.04357297231579e-189
14	NR3C1	1.58795106083637	0.733	0.391	0.342	1.74730446903115e-189	3.43817100371259e-185
14	CD34	1.60297519547881	0.58	0.207	0.373	3.46470492885133e-188	6.81749988850076e-184
14	BTBD3	1.10002682810829	0.28	0.05	0.23	9.32940987369425e-185	1.83574798084682e-180
14	ZCCHC7	1.55012115304917	0.658	0.299	0.359	3.7528901697095e-184	7.38456198693739e-180
14	YBX3	1.43013431779531	0.531	0.189	0.342	3.38069481938353e-182	6.65219319610098e-178
14	PTPRE	1.32528305584785	0.565	0.197	0.368	8.42212233619818e-182	1.65722101209372e-177
14	WASHC4	1.42515947308182	0.574	0.224	0.35	8.05058394881677e-178	1.58411340360868e-173
14	PPP1R14B	1.12849453264467	0.284	0.053	0.231	7.6587382052035e-176	1.50700991663789e-171
14	MDM4	1.46486291694247	0.61	0.26	0.35	8.4880532548734e-176	1.67019423896144e-171
14	SYNE3	1.0665992430486	0.338	0.074	0.264	4.23507674748086e-174	8.33336051601809e-170
14	HIST1H2AC	1.40546098742047	0.515	0.178	0.337	3.2512013172024e-170	6.39738883185916e-166
14	GMFG	1.03783069796019	0.941	0.837	0.104	3.72318900656227e-168	7.32611900821259e-164
14	GBP4	1.31739607268714	0.524	0.186	0.338	1.26227874794049e-166	2.48378589232251e-162
14	SEPT9	1.18295084605957	0.88	0.607	0.273	3.02887977120993e-166	5.95992672580978e-162
14	CYFIP2	1.30845533286716	0.74	0.41	0.33	7.22776919808704e-165	1.42220814510759e-160
14	HIST1H1C	1.56775154111473	0.568	0.234	0.334	4.13065035841526e-159	8.12788071025371e-155
14	VDAC1	1.56380458759523	0.696	0.43	0.266	1.42664281875186e-150	2.80720507445803e-146
14	ZNF22	1.36305041548136	0.681	0.393	0.288	3.913959723266e-150	7.70149854747051e-146
14	RIMKLB	1.11723995569028	0.361	0.102	0.259	4.45672555969985e-143	8.76949888382139e-139
14	ID3	1.42395715928561	0.221	0.038	0.183	8.09752012267739e-142	1.59334903453923e-137
14	PPP1R18	1.30377808521478	0.714	0.429	0.285	6.86288772735663e-136	1.35041041811196e-131
14	ATP5F1C	1.01513564755701	0.815	0.625	0.19	3.13871488635075e-131	6.17604928187238e-127
14	ARHGEF7	1.11422639135706	0.364	0.109	0.255	3.43178936954383e-129	6.7527319424514e-125
14	SRSF3	1.02098924160949	0.853	0.673	0.18	3.79781425399777e-129	7.47295910759142e-125
14	AP1B1	1.40284495390979	0.477	0.194	0.283	3.0813715332993e-128	6.06321476607303e-124
14	SELENOF	1.10412508768014	0.746	0.553	0.193	2.67289100056249e-120	5.25944762180681e-116
14	SPTBN1	1.27709193399302	0.503	0.222	0.281	1.0014870710133e-118	1.97062610963288e-114
14	PLIN3	1.21706558976739	0.53	0.258	0.272	4.19742510290866e-118	8.25927337499337e-114
14	PECAM1	1.19762640770668	0.564	0.282	0.282	9.03328751942258e-117	1.77747998519678e-112
14	SUSD3	1.05473398107054	0.361	0.116	0.245	2.58430143620578e-116	5.08512993602211e-112
14	MDM2	1.08827135292126	0.357	0.114	0.243	4.47481347362046e-116	8.80509047204297e-112
14	A1BG	1.12297104808135	0.451	0.181	0.27	1.61308721612193e-113	3.17407171516312e-109
14	BCL11A	1.21198307944745	0.465	0.2	0.265	6.26518229819527e-111	1.23279992081588e-106
14	CIITA	1.04033465485333	0.367	0.123	0.244	1.05354500091633e-110	2.07306049830306e-106
14	KLF10	1.39679914842559	0.511	0.242	0.269	1.69174396711963e-110	3.32884460410129e-106
14	NEAT1	1.02856880741165	0.777	0.549	0.228	8.09704127981557e-110	1.59325481262931e-105
14	TRABD	1.14155141671306	0.686	0.449	0.237	4.3313092485377e-109	8.52271720834763e-105
14	PFKL	1.27676813803897	0.591	0.346	0.245	1.49296041093067e-107	2.93769820058828e-103
14	MAP1LC3B	1.18226710552883	0.633	0.387	0.246	9.58023264108323e-106	1.88510237678595e-101
14	ARGLU1	1.01778094870826	0.787	0.632	0.155	2.45643552301611e-103	4.83352817863879e-99
14	SYK	1.16619051814267	0.516	0.255	0.261	4.99546940594427e-102	9.82958515007655e-98
14	MTF2	1.22158595422801	0.506	0.258	0.248	8.52508892882058e-101	1.67748174852403e-96
14	SYNGR1	1.12001333033052	0.466	0.21	0.256	2.41298679927989e-100	4.74803412494303e-96
14	ZMIZ1	1.08485963985791	0.368	0.137	0.231	3.34886010135822e-99	6.58955202144258e-95
14	ANKRD10	1.16784210299315	0.568	0.329	0.239	5.14023887173198e-99	1.0114448027907e-94
14	POLA2	1.1612689146186	0.313	0.102	0.211	1.02058032699634e-98	2.00819590943071e-94
